stateName,2016,2017,2018,2019,2020,2021,2022,2023
Alabama,500,800,1300,2000,2900,4700,8700,13000
Alaska,200,400,500,700,900,1300,2000,2700
Arizona,4700,7200,12600,19500,28800,40700,65800,89800
Arkansas,200,300,600,900,1300,2400,5100,7100
California,141500,189700,273500,349700,425300,563100,903600,1256600
Colorado,5300,8000,12500,19200,24700,37000,59900,90100
Connecticut,2000,3000,5000,6900,9000,13300,22000,31600
Delaware,300,400,800,1300,1900,3000,5400,8400
District of Columbia,600,800,1100,1800,2400,3700,5900,8100
Florida,11600,15900,27400,40300,58200,95600,168000,254900
Georgia,18000,14400,15900,19000,23500,34000,60100,92400
Hawaii,4200,5400,6600,8800,10700,14200,19800,25600
Idaho,400,700,1100,1600,2300,3500,5900,8500
Illinois,5800,8300,13600,19300,26000,36500,66900,99600
Indiana,1300,1900,3400,5100,7000,10400,17700,26100
Iowa,400,600,1100,1600,2300,3700,6200,9000
Kansas,600,1000,1700,2300,3100,4500,7600,11300
Kentucky,500,700,1200,1900,2600,4200,7600,11600
Louisiana,400,600,900,1400,2000,3200,5900,8200
Maine,300,500,800,1300,1900,3000,5000,7400
Maryland,3200,4400,8400,13200,18000,25600,46100,72100
Massachusetts,3600,5600,10300,14100,21000,30500,49400,73800
Michigan,1600,2500,4200,6600,10600,17500,33100,50300
Minnesota,1600,2300,4900,7700,10400,15000,24300,37100
Mississippi,100,200,300,500,800,1300,2400,3600
Missouri,1400,2100,3500,4900,6700,10000,17900,26900
Montana,200,300,500,700,900,1600,3300,4600
Nebraska,300,500,900,1300,1800,2700,4600,6900
Nevada,2000,3100,5100,7900,11000,17400,32900,47400
New Hampshire,400,600,1200,1900,2700,4000,7000,9900
New Jersey,4200,6900,13400,20200,30400,47800,87000,134800
New Mexico,500,700,1300,1900,2600,4200,7100,10300
New York,6100,9400,15500,23000,32600,51900,84700,131300
North Carolina,2900,4400,7300,11600,16200,25200,45600,70200
North Dakota,0,100,100,200,200,400,600,1000
Ohio,2600,3700,6400,10200,14500,21200,34100,50400
Oklahoma,600,1200,3700,3400,3400,7100,16300,22800
Oregon,7700,10000,13800,18800,22800,30300,47000,64400
Pennsylvania,3200,4400,8000,12000,17500,26800,47400,70200
Rhode Island,300,400,700,1100,1600,2500,4300,6400
South Carolina,800,1200,2000,3000,4400,7400,13500,20900
South Dakota,100,100,200,300,400,700,1200,1700
Tennessee,2600,2900,3900,5700,7800,12200,22000,33200
Texas,11900,16100,24500,38400,52200,80900,149000,230100
Utah,2500,3600,5600,8000,11200,16500,28000,40000
Vermont,300,700,1100,1700,2200,3400,5300,7800
Virginia,3100,5100,9900,15000,20500,30700,56600,84900
Washington,14900,21000,30200,40400,50500,66800,104100,152100
West Virginia,100,100,200,400,600,1000,1900,2800
Wisconsin,2600,2800,3700,4700,6300,9300,15700,24900
Wyoming,100,100,200,200,300,500,800,1100
US,280300,377100,572600,783600,1018900,1454400,2442300,3555900
