stateName,2016,2017,2018,2019,2020,2021,2022,2023
Alabama,29100,30600,31800,33700,36300,42500,42500,63300
Alaska,5000,5200,5400,5800,6200,7300,7300,10600
Arizona,89600,96000,102000,108100,115400,132200,132200,175700
Arkansas,19100,20000,20300,21100,22400,26100,26100,37000
California,966700,1039300,1085300,1154200,1228700,1355900,1355900,1703200
Colorado,74000,79800,84700,92400,96500,113600,113600,152700
Connecticut,43200,45200,45100,47400,49600,55400,55400,75300
Delaware,11200,11900,12300,13200,14800,16700,16700,22900
District of Columbia,11800,13600,13900,13700,14300,16100,16100,18100
Florida,207100,219700,226900,235300,248500,287000,287000,414500
Georgia,86400,92200,97100,101800,109000,128199,128199,175300
Hawaii,22600,23700,24800,25800,26400,28800,28800,36400
Idaho,16300,17700,19600,21900,24900,30400,30400,43700
Illinois,146500,155800,163800,177300,190600,214300,214300,285400
Indiana,54500,59700,64000,68900,75300,88200,88200,119100
Iowa,26900,29000,30700,33100,36400,42500,42500,57200
Kansas,26200,28200,29600,31700,34000,38300,38300,50400
Kentucky,30900,33900,35800,38000,41300,48300,48300,67100
Louisiana,17700,18700,19000,19800,21600,26000,26000,40200
Maine,17900,18900,19600,20600,22400,25500,25500,33600
Maryland,85900,91200,95300,100700,109700,130900,130900,168700
Massachusetts,98300,103600,107000,112400,122600,138800,138800,187300
Michigan,64900,72000,79000,86500,93400,106400,106400,148100
Minnesota,58900,63300,71000,77400,83800,95200,95200,124500
Mississippi,11800,12800,13600,14400,15800,18700,18700,28200
Missouri,63800,88800,98600,86200,77600,85600,85600,113900
Montana,9800,10000,10000,10500,11200,13900,13900,21100
Nebraska,14500,15800,16800,18200,20200,23700,23700,32600
Nevada,30700,34400,37300,40100,42900,50200,50200,69600
New Hampshire,19200,20300,20700,21900,23300,27000,27000,36800
New Jersey,80900,84900,89200,99900,104600,121500,121500,174200
New Mexico,20800,23600,25000,26800,28500,32800,32800,44300
New York,166500,171000,173200,182800,192700,221600,221600,314000
North Carolina,107400,114300,119400,126600,133400,151600,151600,210600
North Dakota,3400,3700,3700,4000,4400,5400,5400,8200
Ohio,91900,98600,104900,114500,124100,143700,143700,199800
Oklahoma,24800,25900,27800,28500,30100,38700,38700,56400
Oregon,83300,90900,96300,102000,106100,123200,123200,156900
Pennsylvania,103200,110100,114800,126300,140800,168200,168200,245400
Rhode Island,11000,11800,12400,13100,14100,16300,16300,22100
South Carolina,39300,41900,43800,46500,49700,57400,57400,83100
South Dakota,5300,5900,6300,6600,7200,8700,8700,11900
Tennessee,48400,53400,59200,64300,68700,79800,79800,113300
Texas,205800,217100,227700,244600,262300,304700,304700,445100
Utah,32700,36700,40900,45300,49800,58500,58500,83200
Vermont,11600,12200,12600,13300,13900,15800,15800,20300
Virginia,126700,136800,141300,151000,157800,176500,176500,229400
Washington,143400,165100,177800,193400,211300,240000,240000,307200
West Virginia,9200,9700,10100,10900,11900,14500,14500,22400
Wisconsin,61700,67100,70900,76200,82500,93500,93500,123600
Wyoming,3800,4000,4100,4200,4700,5700,5700,8400
US,3741600,4036000,4242400,4512900,4813700,5491799,5491799,7392300
