stateName,2016,2017,2018,2019,2020,2021,2022,2023
Alabama,900,1100,1500,1800,2100,3300,4400,5800
Alaska,200,300,300,400,400,500,700,900
Arizona,4400,5800,7700,9600,11200,15500,20400,25600
Arkansas,500,600,800,1000,1100,1800,2500,3200
California,116700,159600,215000,247300,265500,315300,361100,410700
Colorado,3800,5200,7400,9300,10800,16100,24000,37500
Connecticut,2800,3900,5200,5700,6200,9200,13100,18400
Delaware,700,900,1200,1300,1500,2000,2800,3800
District of Columbia,500,700,1000,1300,1600,2500,3200,3700
Florida,10100,13400,17400,20400,22400,32200,45800,57300
Georgia,4000,5200,7000,8400,9400,13600,18100,22700
Hawaii,1200,1700,2400,2900,3200,4500,5600,7300
Idaho,600,800,1100,1500,1700,2500,3500,4600
Illinois,6000,7700,9900,11600,13000,18300,25700,33400
Indiana,2400,3200,4100,4700,5300,7500,10100,12900
Iowa,1200,1500,2000,2400,2600,3600,4900,6100
Kansas,1000,1300,1800,2100,2400,3300,4300,5600
Kentucky,900,1200,1500,1800,2100,3100,4400,5600
Louisiana,500,700,900,1000,1200,2000,2900,4000
Maine,1000,1300,1800,2200,2800,4200,5700,7600
Maryland,5000,6500,8400,10000,11900,17200,22900,31300
Massachusetts,5200,7900,11600,12900,15600,22200,30500,43800
Michigan,11600,12000,12300,12400,12500,17200,24300,29100
Minnesota,2400,3100,4800,5800,6700,8900,11900,16100
Mississippi,200,300,500,600,700,1100,1600,2000
Missouri,2100,3300,4200,5000,5300,7200,10400,13900
Montana,200,300,400,500,600,1100,1700,2500
Nebraska,600,800,1000,1100,1300,2000,2900,3800
Nevada,1400,2000,2900,3600,4200,6300,8800,10600
New Hampshire,1000,1500,2000,2200,2500,3500,4800,6600
New Jersey,5500,8100,10800,11700,12800,18500,26800,40900
New Mexico,600,1000,1300,1600,1900,2800,3900,4900
New York,12100,17100,24300,28000,32600,44600,59800,92300
North Carolina,3600,4800,6500,8100,9300,13500,18800,23700
North Dakota,100,200,200,200,300,400,600,800
Ohio,4400,5600,7200,8600,9500,13100,17800,24000
Oklahoma,700,900,1300,1600,1800,6900,11500,33000
Oregon,4300,6000,8400,10400,11800,16900,22500,28800
Pennsylvania,5400,7500,9500,11200,12800,17800,25400,38900
Rhode Island,600,800,1200,1300,1600,2400,3400,5100
South Carolina,1200,1600,2200,2600,3000,4700,6700,9000
South Dakota,200,200,300,400,500,700,1000,1300
Tennessee,1700,2100,2900,3600,4300,6300,8900,11000
Texas,8000,10900,14700,18100,20400,30600,42800,55300
Utah,1700,2500,3400,4400,5200,7500,10200,13000
Vermont,1200,1600,2000,2000,2300,3200,4200,5700
Virginia,4200,6100,8100,9800,11200,15800,21700,26800
Washington,6400,9800,13700,16100,18400,24300,31400,41200
West Virginia,300,400,500,600,700,1000,1400,1800
Wisconsin,2600,3500,4500,5300,5900,7700,10000,12500
Wyoming,100,100,200,200,300,400,600,800
